endpoint,fixture_id,method,status,prompt_chars,approx_prompt_tokens,latency_ms,input_tokens,output_tokens,total_tokens,output_chars
MiniMax,synthetic_investment_falsehard_01_03_r05_longpayload,cbea_lcv_runtime,ok,27669,6918,12169,5264,700,5964,3349
MiniMax,synthetic_investment_falsehard_01_03_r08_longpayload,cbea_lcv_runtime,ok,27669,6918,14492,5264,700,5964,3427
MiniMax,synthetic_investment_exception_01_04_r02_longpayload,cbea_lcv_runtime,ok,27880,6970,14836,5151,700,5851,3876
MiniMax,synthetic_investment_infeasible_01_02_r02_longpayload,raw_prompt_stuffing,ok,108885,27222,16070,20535,700,21235,3495
MiniMax,synthetic_investment_falsehard_01_03_r08_longpayload,raw_prompt_stuffing,ok,109022,27256,16305,20808,700,21508,3438
MiniMax,synthetic_investment_exception_01_04_r04_longpayload,raw_prompt_stuffing,ok,109328,27332,17330,20314,700,21014,3495
MiniMax,synthetic_investment_infeasible_01_02_r04_longpayload,raw_prompt_stuffing,ok,108885,27222,18111,20535,700,21235,3489
MiniMax,synthetic_investment_infeasible_01_02_r11_longpayload,raw_prompt_stuffing,ok,109016,27254,18403,20535,700,21235,3370
MiniMax,synthetic_investment_exception_01_04_r04_longpayload,cbea_lcv_runtime,ok,27880,6970,10749,5151,700,5851,3524
MiniMax,synthetic_investment_exception_01_04_r03_longpayload,cbea_lcv_runtime,ok,27896,6974,11676,5154,700,5854,3398
MiniMax,synthetic_investment_infeasible_01_02_r10_longpayload,raw_prompt_stuffing,ok,109016,27254,14388,20535,700,21235,3475
MiniMax,synthetic_investment_exception_01_04_r11_longpayload,cbea_lcv_runtime,ok,27932,6983,12788,5154,700,5854,3573
MiniMax,synthetic_investment_infeasible_01_02_r01_longpayload,cbea_lcv_runtime,ok,27911,6978,14220,5275,700,5975,3489
MiniMax,synthetic_investment_infeasible_01_02_r12_longpayload,raw_prompt_stuffing,ok,109016,27254,15703,20535,700,21235,3377
MiniMax,synthetic_investment_infeasible_01_02_r03_longpayload,raw_prompt_stuffing,ok,108885,27222,15777,20535,700,21235,3399
MiniMax,synthetic_investment_infeasible_01_02_r09_longpayload,raw_prompt_stuffing,ok,108885,27222,17307,20535,700,21235,3495
MiniMax,synthetic_investment_tail_01_01_r07_longpayload,cbea_lcv_runtime,ok,26954,6739,11548,5071,700,5771,3404
MiniMax,synthetic_investment_infeasible_01_02_r11_longpayload,cbea_lcv_runtime,ok,27947,6987,13212,5275,700,5975,3432
MiniMax,synthetic_investment_infeasible_01_02_r03_longpayload,cbea_lcv_runtime,ok,27911,6978,12500,5275,700,5975,3427
MiniMax,synthetic_investment_falsehard_01_03_r07_longpayload,raw_prompt_stuffing,ok,109022,27256,15350,20808,700,21508,3422
MiniMax,synthetic_investment_exception_01_04_r12_longpayload,cbea_lcv_runtime,ok,27916,6979,12637,5151,700,5851,3616
MiniMax,synthetic_investment_falsehard_01_03_r06_longpayload,cbea_lcv_runtime,ok,27669,6918,11092,5264,700,5964,3496
MiniMax,synthetic_investment_falsehard_01_03_r05_longpayload,raw_prompt_stuffing,ok,109022,27256,15239,20808,700,21508,3547
MiniMax,synthetic_investment_exception_01_04_r09_longpayload,raw_prompt_stuffing,ok,109344,27336,14966,20317,700,21017,3458
MiniMax,synthetic_investment_tail_01_01_r06_longpayload,raw_prompt_stuffing,ok,106497,26625,14399,20139,700,20839,3772
MiniMax,synthetic_investment_exception_01_04_r02_longpayload,raw_prompt_stuffing,ok,109328,27332,13791,20314,700,21014,3565
MiniMax,synthetic_investment_infeasible_01_02_r01_longpayload,raw_prompt_stuffing,ok,108885,27222,14830,20535,700,21235,3505
MiniMax,synthetic_investment_exception_01_04_r09_longpayload,cbea_lcv_runtime,ok,27896,6974,11459,5154,700,5854,3438
MiniMax,synthetic_investment_falsehard_01_03_r07_longpayload,cbea_lcv_runtime,ok,27669,6918,11398,5264,700,5964,3486
MiniMax,synthetic_investment_tail_01_01_r08_longpayload,raw_prompt_stuffing,ok,106497,26625,14475,20139,700,20839,3645
MiniMax,synthetic_investment_infeasible_01_02_r10_longpayload,cbea_lcv_runtime,ok,27947,6987,13590,5275,700,5975,3387
MiniMax,synthetic_investment_exception_01_04_r10_longpayload,raw_prompt_stuffing,ok,109459,27365,13086,20314,700,21014,3505
MiniMax,synthetic_investment_tail_01_01_r06_longpayload,cbea_lcv_runtime,ok,26954,6739,12059,5071,700,5771,3522
MiniMax,synthetic_investment_falsehard_01_03_r06_longpayload,raw_prompt_stuffing,ok,109022,27256,13075,20808,700,21508,3358
MiniMax,synthetic_investment_tail_01_01_r05_longpayload,cbea_lcv_runtime,ok,26954,6739,13847,5071,700,5771,3643
MiniMax,synthetic_investment_exception_01_04_r01_longpayload,cbea_lcv_runtime,ok,27896,6974,13065,5154,700,5854,3755
MiniMax,synthetic_investment_exception_01_04_r01_longpayload,raw_prompt_stuffing,ok,109344,27336,13628,20317,700,21017,3531
MiniMax,synthetic_investment_exception_01_04_r11_longpayload,raw_prompt_stuffing,ok,109475,27369,13400,20317,700,21017,3576
MiniMax,synthetic_investment_tail_01_01_r07_longpayload,raw_prompt_stuffing,ok,106497,26625,13166,20139,700,20839,3255
MiniMax,synthetic_investment_exception_01_04_r10_longpayload,cbea_lcv_runtime,ok,27916,6979,10680,5151,700,5851,3504
MiniMax,synthetic_investment_infeasible_01_02_r04_longpayload,cbea_lcv_runtime,ok,27911,6978,11723,5275,700,5975,3366
MiniMax,synthetic_investment_exception_01_04_r12_longpayload,raw_prompt_stuffing,ok,109459,27365,14556,20314,700,21014,3573
MiniMax,synthetic_investment_exception_01_04_r03_longpayload,raw_prompt_stuffing,ok,109344,27336,14186,20317,700,21017,3941
MiniMax,synthetic_investment_tail_01_01_r08_longpayload,cbea_lcv_runtime,ok,26954,6739,13157,5071,700,5771,3306
MiniMax,synthetic_investment_infeasible_01_02_r12_longpayload,cbea_lcv_runtime,ok,27947,6987,11887,5275,700,5975,3491
MiniMax,synthetic_investment_infeasible_01_02_r02_longpayload,cbea_lcv_runtime,ok,27911,6978,12526,5275,700,5975,3359
MiniMax,synthetic_investment_infeasible_01_02_r09_longpayload,cbea_lcv_runtime,ok,27911,6978,15147,5275,700,5975,3991
MiniMax,synthetic_investment_tail_01_01_r02_longpayload,raw_prompt_stuffing,ok,106497,26625,13116,20139,700,20839,3532
MiniMax,synthetic_investment_tail_01_01_r05_longpayload,raw_prompt_stuffing,ok,106497,26625,14028,20139,700,20839,3253
MiniMax,synthetic_investment_infeasible_01_02_r05_longpayload,cbea_lcv_runtime,ok,27911,6978,12263,5275,700,5975,3452
MiniMax,synthetic_investment_exception_01_04_r08_longpayload,cbea_lcv_runtime,ok,27880,6970,12440,5151,700,5851,3548
MiniMax,synthetic_investment_falsehard_01_03_r03_longpayload,raw_prompt_stuffing,ok,109022,27256,14014,20808,700,21508,3590
MiniMax,synthetic_investment_falsehard_01_03_r01_longpayload,raw_prompt_stuffing,ok,109022,27256,13898,20808,700,21508,3468
MiniMax,synthetic_investment_infeasible_01_02_r08_longpayload,raw_prompt_stuffing,ok,108885,27222,12583,20535,700,21235,3337
MiniMax,synthetic_investment_tail_01_01_r10_longpayload,raw_prompt_stuffing,ok,106725,26682,12802,20139,700,20839,3503
MiniMax,synthetic_investment_infeasible_01_02_r07_longpayload,cbea_lcv_runtime,ok,27911,6978,11235,5275,700,5975,3255
MiniMax,synthetic_investment_falsehard_01_03_r03_longpayload,cbea_lcv_runtime,ok,27669,6918,11232,5264,700,5964,3419
MiniMax,synthetic_investment_falsehard_01_03_r12_longpayload,raw_prompt_stuffing,ok,109153,27289,14667,20808,700,21508,3214
MiniMax,synthetic_investment_tail_01_01_r04_longpayload,cbea_lcv_runtime,ok,26954,6739,11505,5071,700,5771,3298
MiniMax,synthetic_investment_tail_01_01_r09_longpayload,raw_prompt_stuffing,ok,106497,26625,13330,20139,700,20839,3312
MiniMax,synthetic_investment_infeasible_01_02_r06_longpayload,raw_prompt_stuffing,ok,108885,27222,11761,20535,700,21235,3446
MiniMax,synthetic_investment_falsehard_01_03_r11_longpayload,cbea_lcv_runtime,ok,27705,6927,10130,5264,700,5964,3522
MiniMax,synthetic_investment_surface_01_05_r01_longpayload,cbea_lcv_runtime,ok,27989,6998,13495,5146,700,5846,3453
